DID,Title,Disruption_Category,Disruption_Sub_Category,Start,End,Geographic_Scope,Industries Affected,Industries Affected.1,Industries Affected.2,Impact_Loss_$B,Disruption_Duration_Months,Disruption_Cost_Per_Month,Severity,Cascading_Impact 1,Cascading_Impact 2,Cascading_Impact 3,Primary_Supply_Chain_Node,Disrupted_KPI 1,Disrupted_KPI 2,Disrupted_KPI 3,Response_Adaptation_Strategy,Intrinsic_Challenge 1,Intrinsic_Challenge 2,Intrinsic_Challenge 3,Intrinsic_Challenge 4,Resilience_Dimension,Tech_Enabler,Tech_Enabler.1,Blockchain_Solution,AI_Solution,Cascade_Pattern,Early_Warning_Signals,Resilience_Strategy (Agentic AI + Blockchain),Primary_Intrinsic_Challenge,Primary_KPIs_Affected,Reference
1,Mongol Empire Trade Route Control,Geopolitical,Route Control,1200,1300,Asia-Europe,Trade,Transportation,,850,1200,0.708333333,3,Route reconfiguration,,,Trade Routes,Throughput,Transit Time,,Alternative routes;camel caravans,Complexity & Interdependence,Coordination & Collaboration,,,Operational Continuity,Digital twin route simulation,Digital Twin,0,0,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,Forecast error spikes | Lead-time variance increase | Service-level dips,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Complexity & Interdependence,"['Bullwhip Index', 'Supply Mix Flexibility', 'Tier Visibility %']",Historical records
2,Black Death Pandemic,Pandemic,Health Crisis,1347,1351,Europe; Asia; Africa,Healthcare,Agriculture,,650,48,13.54166667,5,Labor shortages,food scarcity,,Production & Distribution,Workforce availability,Inventory turnover,,Strategic reserves; remote sourcing,Risk Assessment & Prediction,Supply Chain Transparency,,,Operational Continuity,Epidemiological modeling,Blockchain,1,0,Labor & Demand Shock (bi-directional) → Factory/port constraints → Forecast error surge → System-wide oscillations,Absenteeism rise | Border restriction alerts | Demand volatility index surges,"Federated learning demand forecasting across partners (privacy-preserving) | Labor capacity agents for shift re-optimization & automation substitution | Smart contracts for adaptive MOQ/lead-time terms under emergency clauses | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Risk Assessment & Prediction,"['Forecast Error (MAPE)', 'Safety Stock Level', 'Service Level']",Medical journals
3,Age of Exploration Maritime Disasters,Natural Disaster,Maritime Disaster,1400,1600,Global,Maritime,Trade,,150,240,0.625,2,Ship losses,insurance claims,,Maritime; Insurance,Loss rate,Insurance cost,,Diversify routes; marine insurance,Risk Assessment & Prediction,Real-Time Monitoring & Response,,,Sustainability Resilience,IoT ship tracking,IoT,0,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Risk Assessment & Prediction,"['Forecast Error (MAPE)', 'Safety Stock Level', 'Service Level']",Nautical logs
4,Ottoman Empire Trade Blockades,Geopolitical,Blockades,1453,1700,Europe-Middle East,Trade,Manufacturing,,350,297,1.178451178,3,Price spikes,supply delays,,Maritime; Trade,Cost per Unit,Fill Rate,,Diplomacy; regional pacts,Trust & Data Integrity,Regulatory Compliance Automation,,,Regulatory Compliance,Blockchain trade ledgers,Blockchain,1,0,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Trust & Data Integrity,"['Audit Exceptions', 'Dispute Rate', 'Payment Delay']",Historical archives
5,Dutch East India Company Monopolies,Economic,Monopoly,1602,1800,Asia-Europe,Trade,Commodities,,150,198,0.757575758,3,Market manipulation,price control,,Trade Networks,Price volatility,Market share,,Anti-monopoly regulations; alt suppliers,Regulatory Compliance Automation,Financial Transaction & Settlement,,,Market Resilience,Smart contract auctions,Blockchain,1,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Regulatory Compliance Automation,"['OTIF', 'Forecast Error (MAPE)']",VOC archives
6,British Industrial Revolution Transformation,Technology,Industrialization,1760,1840,Europe; North America,Manufacturing,Transportation,,1250,960,1.302083333,5,Industrial demand shifts,,,Factories; Rail,Production capacity,Throughput,,Mechanization; retraining,Complexity & Interdependence,Continuous Learning & Adaptation,,,Capacity Resilience,Predictive capacity planning,Blockchain,1,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Complexity & Interdependence,"['Bullwhip Index', 'Supply Mix Flexibility', 'Tier Visibility %']",Industrial histories
7,Napoleon Continental System,Geopolitical,Trade Embargo,1806,1814,Europe,Trade,Manufacturing,,450,96,4.6875,3,Embargoes,smuggling,,Trade Routes; Manufacturing,Transit times,Cost per Unit,,Blockade runners; barter treaties,Coordination & Collaboration,Trust & Data Integrity,,,Trade Resilience,Blockchain barter platforms,Blockchain,1,0,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Coordination & Collaboration,"['Backorder Level', 'Lead Time Variability', 'Order Fill Rate']",Napoleonic records
8,Irish Potato Famine,Natural Disaster,Agricultural Crisis,1845,1852,Ireland; Europe,Agriculture,Food,,450,84,5.357142857,5,Mass migration,food shortage,,Agriculture; Food Distribution,Food supply,Population stability,,Import substitution; relief programs,Risk Assessment & Prediction,Supply Chain Transparency,,,Food Security,Agricultural monitoring systems,IoT,0,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Risk Assessment & Prediction,"['Forecast Error (MAPE)', 'Safety Stock Level', 'Service Level']",Historical records
9,California Gold Rush,Economic,Resource Rush,1848,1855,North America,Mining,Transportation,Trade,800,84,9.523809524,3,Labor migration,infrastructure demand,,Mining; Transportation,Labor availability,Transportation capacity,,Infrastructure development; labor recruitment,Capacity Resilience,Coordination & Collaboration,,,Capacity Resilience,Resource tracking systems,IoT,0,0,Local Disruption → Lead-time variability → Safety stock erosion → Expediting/rationing → Service loss,Forecast error spikes | Lead-time variance increase | Service-level dips,"On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Capacity Resilience,"['Alternate Supplier Coverage', 'Lead Time to Qualify', 'Spare Capacity %']",Historical records
10,Taiping Rebellion Trade Disruption,Social,Civil War,1850,1864,China; Asia,Agriculture,Trade,,1200,168,7.142857143,4,Agricultural collapse,trade route disruption,,Agriculture; Trade Routes,Food supply,Trade volumes,,Military intervention; alternative trade routes,Risk Assessment & Prediction,Coordination & Collaboration,,,Strategic Resilience,Multi-agent conflict prediction,AI/Agentic AI,0,1,Route Closure & Regulatory Shock → Lead-time spikes → Allocation rationing → Bullwhip amplification across tiers,AIS route deviations | Customs dwell-time spikes | Sanction list updates,"Compliance oracles (sanctions, export control) gating transactions on-chain | Tokenized inventory & capacity auctions among approved partners | Multi-sourcing agent negotiation with on-chain supplier reputation scores | On-chain supplier & lane attestation (quality, ESG, certifications) with real-time oracle feeds | Sentinel agents for anomaly & drift detection on IoT/ERP/TMS streams | Digital twin + simulation agents for cascade prediction and recovery planning | Smart-contract playbooks for rerouting, re-sourcing, and SLA-based compensation | Ledger-anchored KPI telemetry (OTIF, dwell time, recovery time) for audit and learning",Risk Assessment & Prediction,"['Forecast Error (MAPE)', 'Safety Stock Level', 'Service Level']",Historical archives
